# Species Clustering Database for APOGEE V05
# Format: ClusterNum<TAB>SpeciesA<TAB>SpeciesB<TAB>ClusterName<TAB>Genus
# Total clusters: 489

19	Phytophthora abietivora	Phytophthora tyrrhenica	Phytophthora abietivora cluster	Phytophthora
19	Phytophthora abietivora	Phytophthora uliginosa	Phytophthora abietivora cluster	Phytophthora
19	Phytophthora europaea	Phytophthora flexuosa	Phytophthora abietivora cluster	Phytophthora
19	Phytophthora europaea	Phytophthora tyrrhenica	Phytophthora abietivora cluster	Phytophthora
19	Phytophthora europaea	Phytophthora uliginosa	Phytophthora abietivora cluster	Phytophthora
19	Phytophthora flexuosa	Phytophthora tyrrhenica	Phytophthora abietivora cluster	Phytophthora
19	Phytophthora flexuosa	Phytophthora uliginosa	Phytophthora abietivora cluster	Phytophthora
19	Phytophthora tyrrhenica	Phytophthora uliginosa	Phytophthora abietivora cluster	Phytophthora
20	Phytophthora acerina	Phytophthora caryae	Phytophthora acerina cluster	Phytophthora
20	Phytophthora acerina	Phytophthora citricola	Phytophthora acerina cluster	Phytophthora
20	Phytophthora acerina	Phytophthora inflata	Phytophthora acerina cluster	Phytophthora
20	Phytophthora acerina	Phytophthora pachypleura	Phytophthora acerina cluster	Phytophthora
20	Phytophthora acerina	Phytophthora pini	Phytophthora acerina cluster	Phytophthora
20	Phytophthora acerina	Phytophthora plurivora	Phytophthora acerina cluster	Phytophthora
20	Phytophthora caryae	Phytophthora citricola	Phytophthora acerina cluster	Phytophthora
20	Phytophthora caryae	Phytophthora inflata	Phytophthora acerina cluster	Phytophthora
20	Phytophthora caryae	Phytophthora pachypleura	Phytophthora acerina cluster	Phytophthora
20	Phytophthora caryae	Phytophthora pini	Phytophthora acerina cluster	Phytophthora
20	Phytophthora caryae	Phytophthora plurivora	Phytophthora acerina cluster	Phytophthora
20	Phytophthora citricola	Phytophthora inflata	Phytophthora acerina cluster	Phytophthora
20	Phytophthora citricola	Phytophthora pachypleura	Phytophthora acerina cluster	Phytophthora
20	Phytophthora citricola	Phytophthora pini	Phytophthora acerina cluster	Phytophthora
20	Phytophthora citricola	Phytophthora plurivora	Phytophthora acerina cluster	Phytophthora
20	Phytophthora inflata	Phytophthora pachypleura	Phytophthora acerina cluster	Phytophthora
20	Phytophthora inflata	Phytophthora pini	Phytophthora acerina cluster	Phytophthora
20	Phytophthora inflata	Phytophthora plurivora	Phytophthora acerina cluster	Phytophthora
20	Phytophthora pachypleura	Phytophthora pini	Phytophthora acerina cluster	Phytophthora
20	Phytophthora pachypleura	Phytophthora plurivora	Phytophthora acerina cluster	Phytophthora
20	Phytophthora pini	Phytophthora plurivora	Phytophthora acerina cluster	Phytophthora
21	Phytophthora agathidicida	Phytophthora castaneae	Phytophthora agathidicida cluster	Phytophthora
21	Phytophthora agathidicida	Phytophthora cocois	Phytophthora agathidicida cluster	Phytophthora
21	Phytophthora agathidicida	Phytophthora katsurae	Phytophthora agathidicida cluster	Phytophthora
21	Phytophthora castaneae	Phytophthora cocois	Phytophthora agathidicida cluster	Phytophthora
21	Phytophthora castaneae	Phytophthora katsurae	Phytophthora agathidicida cluster	Phytophthora
21	Phytophthora cocois	Phytophthora katsurae	Phytophthora agathidicida cluster	Phytophthora
22	Phytophthora aleatoria	Phytophthora alpina	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora aleatoria	Phytophthora cactorum	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora aleatoria	Phytophthora hedraiandra	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora aleatoria	Phytophthora idaei	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora aleatoria	Phytophthora pseudotsugae	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora aleatoria	Phytophthora x serendipita	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora alpina	Phytophthora cactorum	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora alpina	Phytophthora hedraiandra	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora alpina	Phytophthora idaei	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora alpina	Phytophthora pseudotsugae	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora alpina	Phytophthora x serendipita	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora cactorum	Phytophthora hedraiandra	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora cactorum	Phytophthora idaei	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora cactorum	Phytophthora pseudotsugae	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora cactorum	Phytophthora x serendipita	Phytophthora cactorum cluster	Phytophthora
22	Phytophthora hedraiandra	Phytophthora idaei	Phytophthora cactorum cluster	Phytophthora
